district,zone_name,latitude,longitude,street_lamp_count_500m,primary_road_count_500m,secondary_road_count_500m,tertiary_road_count_500m,residential_road_count_500m,service_road_count_500m,footway_path_count_500m,pedestrian_road_count_500m,unclassified_road_count_500m,bus_station_count_500m,rail_station_count_500m,market_count_500m,shop_count_500m,school_college_count_500m,hospital_count_500m,police_count_3km,nearest_police_distance_km,light_score,road_quality,alley_density,transport_hub_score,public_place_density,police_distance_risk,environmental_risk_score
Magura,Magura Bus Terminal,23.497361,89.432266,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3.0,0.45,0.35,0.0,0.2,0.0,1.0,34.75
Magura,Magura Sadar,23.4845,89.41961,0,0,0,0,5,0,0,0,1,0,0,1,3,3,1,0,3.0,0.45,0.35,0.05,0.0,0.3,1.0,36.25
Magura,Magura Sadar Hospital,23.4845,89.41961,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.0,0.45,0.35,0.0,0.0,0.0,1.0,30.75
Magura,Vaina Mor,23.405385,89.416036,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.0,0.45,0.35,0.0,0.0,0.0,1.0,30.75
Manikganj,Beutha,23.84361,90.00256,0,1,3,0,9,0,0,0,0,0,0,0,1,0,0,3,1.506,0.45,0.517,0.0,0.0,0.033,0.502,23.77
Manikganj,Manikganj Bus Stand,23.85768,90.00957,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.0,0.45,0.35,0.0,0.0,0.0,1.0,30.75
Manikganj,Manikganj Govt Devendra College,23.862458,90.005096,0,6,0,5,17,1,2,0,3,0,0,1,2,10,4,3,0.391,0.45,0.808,0.3,0.0,0.6,0.13,30.18
Manikganj,Manikganj Sadar,23.861743,90.00136,0,9,0,5,17,1,1,0,8,0,0,1,3,14,3,3,0.004,0.45,0.85,0.5,0.0,0.733,0.001,34.26
Manikganj,Manikganj Sadar Hospital,23.861743,90.00136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.0,0.45,0.35,0.0,0.0,0.0,1.0,30.75
Meherpur,Meherpur Sadar,23.77687,88.63033,0,0,4,3,36,0,1,0,1,0,0,1,2,2,0,1,0.511,0.45,0.642,0.1,0.0,0.2,0.17,23.08
